mes referencia,ano referencia,id_funcionario,nome,tipo_desligamento,data_demissao,cargo
novembro,2024,861-75-3603,Simone Fownes,Dispensa sem Justa Causa,2024-10-13,gerente de negocios
maio,2024,178-24-2949,Madalena Kalkofer,Dispensa sem Justa Causa,2024-08-13,supervisor de planejamento
dezembro,2024,240-59-6456,Banky Spikings,Pedido de Demissão,2024-06-09,gerente de negocios
junho,2024,724-63-9379,Tamarra Toffts,Pedido de Demissão,2024-08-03,gerente de negocios
fevereiro,2024,575-42-4973,Margot Smeall,Dispensa sem Justa Causa,2024-05-20,coordenador de midia
abril,2024,432-23-3480,Gillan Colbeck,Pedido de Demissão,2024-04-29,coordenador de midia
fevereiro,2024,186-65-7321,Sheela Celier,Dispensa sem Justa Causa,2024-04-11,supervisor de planejamento
dezembro,2024,145-18-2445,Terza Guymer,Dispensa sem Justa Causa,2024-02-04,gerente de negocios
fevereiro,2024,382-91-1300,Jacquenette Josebury,Pedido de Demissão,2024-08-04,supervisor de planejamento
agosto,2024,479-98-1514,Trudey Teesdale,Dispensa sem Justa Causa,2024-07-26,gerente de planejamento
junho,2024,110-46-9624,Lynnet Fortie,Dispensa sem Justa Causa,2024-10-05,gerente de negocios
maio,2024,633-16-2108,Wain Scholler,Pedido de Demissão,2024-02-15,gerente de negocios
março,2024,246-73-5177,Gillie Fossey,Pedido de Demissão,2024-07-25,diretor de criacao
setembro,2024,433-42-4727,Lotte Waudby,Pedido de Demissão,2024-04-21,coordenador de midia
abril,2024,469-40-8772,Bev Barnham,Pedido de Demissão,2024-11-12,supervisor de planejamento
junho,2024,121-47-5262,Hewe Moth,Dispensa sem Justa Causa,2024-05-16,diretor de criacao
maio,2024,850-82-9694,Cullin Pearle,Pedido de Demissão,2024-03-16,executivo de contas
março,2024,467-18-3075,Del Mitchenson,Pedido de Demissão,2024-09-29,gerente de planejamento
agosto,2024,609-54-4796,Archy Jermy,Dispensa sem Justa Causa,2024-11-10,gerente de planejamento
janeiro,2024,816-46-4662,Nerita Chace,Pedido de Demissão,2024-05-26,diretor de criacao
setembro,2024,974-47-4967,Kienan Tremblot,Dispensa sem Justa Causa,2024-01-14,executivo de contas
abril,2024,641-44-1032,Vick Brunke,Pedido de Demissão,2024-05-20,coordenador de midia
março,2024,390-89-9798,Cecilio Henriques,Pedido de Demissão,2024-03-28,gerente de negocios
janeiro,2024,745-15-9775,Grantley Halbard,Dispensa sem Justa Causa,2024-08-28,executivo de contas
fevereiro,2024,473-15-6427,Alicea MacGuiness,Pedido de Demissão,2024-03-18,coordenador de midia
janeiro,2024,650-47-7925,Corbett Hankins,Pedido de Demissão,2024-11-17,gerente de planejamento
dezembro,2024,197-86-2471,Sully Iacovini,Dispensa sem Justa Causa,2024-12-05,gerente de negocios
abril,2024,734-57-4322,Windy Loveard,Pedido de Demissão,2024-06-13,supervisor de planejamento
janeiro,2024,795-35-1700,Noel Wilshire,Pedido de Demissão,2024-05-03,supervisor de planejamento
dezembro,2024,245-36-8291,Glennie Arendt,Dispensa sem Justa Causa,2024-03-26,coordenador de midia
fevereiro,2024,995-92-6410,Paulina Fearnall,Dispensa sem Justa Causa,2024-01-25,supervisor de planejamento
fevereiro,2024,260-35-9459,Myron Swenson,Dispensa sem Justa Causa,2024-09-19,diretor de criacao
agosto,2024,798-26-6247,Gilly Courtin,Dispensa sem Justa Causa,2024-02-27,gerente de planejamento
novembro,2024,447-32-9545,Powell Tripean,Dispensa sem Justa Causa,2024-11-17,gerente de planejamento
março,2024,851-59-5174,Lorrie Ary,Pedido de Demissão,2024-08-11,gerente de negocios
junho,2024,760-52-4827,Culley MacKall,Pedido de Demissão,2024-02-29,gerente de negocios
julho,2024,376-39-6580,Emma Schermick,Dispensa sem Justa Causa,2024-07-21,coordenador de midia
janeiro,2024,228-47-1388,Alyssa Hause,Pedido de Demissão,2024-07-03,diretor de criacao
junho,2024,788-71-8571,Milicent Riteley,Dispensa sem Justa Causa,2024-12-21,coordenador de midia
novembro,2024,686-74-3109,Holden Pleuman,Pedido de Demissão,2024-08-07,gerente de planejamento
abril,2024,656-62-2204,Shaw Rosenwald,Pedido de Demissão,2024-08-04,gerente de planejamento
janeiro,2024,220-90-4142,Florrie Westgate,Pedido de Demissão,2024-01-14,supervisor de planejamento
agosto,2024,324-45-8459,Sue Merrison,Dispensa sem Justa Causa,2024-03-29,gerente de negocios
agosto,2024,691-36-2470,Winston McCloud,Pedido de Demissão,2024-03-08,executivo de contas
agosto,2024,101-20-1018,Ashlen Bessey,Pedido de Demissão,2024-05-23,gerente de negocios
abril,2024,910-11-3081,Nelli Segar,Pedido de Demissão,2024-10-30,gerente de planejamento
janeiro,2024,439-41-2509,Chick Street,Dispensa sem Justa Causa,2024-01-24,executivo de contas
novembro,2024,792-76-7051,Kinnie Cabble,Dispensa sem Justa Causa,2024-06-24,executivo de contas
junho,2024,558-77-4585,Lyssa Audas,Pedido de Demissão,2024-01-10,diretor de criacao
dezembro,2024,372-14-4496,Ailbert Wilsdon,Pedido de Demissão,2024-09-11,coordenador de midia
agosto,2024,846-66-4742,Callean Skellern,Pedido de Demissão,2024-06-02,executivo de contas
abril,2024,280-88-4495,Shepperd Camell,Dispensa sem Justa Causa,2024-02-15,supervisor de planejamento
agosto,2024,223-91-6726,Zelig Whotton,Dispensa sem Justa Causa,2024-04-23,supervisor de planejamento
fevereiro,2024,431-39-8396,Kristen Houlridge,Dispensa sem Justa Causa,2024-10-23,gerente de negocios
setembro,2024,889-75-1883,Dolorita Assad,Pedido de Demissão,2024-02-21,diretor de criacao
fevereiro,2024,270-31-9770,Clement Stefi,Pedido de Demissão,2024-08-05,executivo de contas
julho,2024,186-64-7013,Hew Durie,Dispensa sem Justa Causa,2024-12-24,diretor de criacao
dezembro,2024,245-52-6822,Corliss Alliker,Pedido de Demissão,2024-07-09,gerente de negocios
setembro,2024,124-73-6387,Tanitansy Dungey,Dispensa sem Justa Causa,2024-09-21,gerente de planejamento
dezembro,2024,135-13-4852,Briny Kerrigan,Pedido de Demissão,2024-07-16,gerente de negocios
setembro,2024,235-99-9918,Barbie Clendening,Pedido de Demissão,2024-11-30,coordenador de midia
janeiro,2024,793-78-4505,Bobbette Chatwin,Dispensa sem Justa Causa,2024-08-08,coordenador de midia
abril,2024,457-82-8456,Marty Gronav,Dispensa sem Justa Causa,2024-11-30,gerente de planejamento
janeiro,2024,120-10-4958,Scotty Pentecust,Dispensa sem Justa Causa,2024-04-12,gerente de planejamento
abril,2024,398-37-1215,Missy Sancto,Pedido de Demissão,2024-03-04,diretor de criacao
agosto,2024,928-17-5912,Kelly Stoeckle,Dispensa sem Justa Causa,2024-06-17,gerente de planejamento
dezembro,2024,488-10-6025,Carter Cord,Dispensa sem Justa Causa,2024-08-02,gerente de negocios
novembro,2024,886-53-7985,Julio MacFadden,Dispensa sem Justa Causa,2024-08-21,gerente de negocios
outubro,2024,381-46-8294,Rhys Pierro,Pedido de Demissão,2024-04-02,executivo de contas
novembro,2024,449-90-6882,Davey Kilfedder,Pedido de Demissão,2024-08-01,gerente de planejamento
outubro,2024,705-23-5400,Gawen Cloutt,Dispensa sem Justa Causa,2024-11-10,diretor de criacao
setembro,2024,739-61-7224,Munroe Memmory,Pedido de Demissão,2024-11-28,executivo de contas
setembro,2024,754-62-3389,Yovonnda Klewer,Dispensa sem Justa Causa,2024-10-06,supervisor de planejamento
janeiro,2024,681-49-5180,Correy Reddell,Pedido de Demissão,2024-07-20,executivo de contas
dezembro,2024,568-11-4808,Estrella McGrotty,Dispensa sem Justa Causa,2024-12-26,supervisor de planejamento
dezembro,2024,288-84-8645,Pepita Bensen,Dispensa sem Justa Causa,2024-02-10,diretor de criacao
dezembro,2024,560-82-9547,Germaine Ehlerding,Dispensa sem Justa Causa,2024-09-06,gerente de negocios
outubro,2024,659-43-7736,Ginelle Glowacz,Pedido de Demissão,2024-12-11,coordenador de midia
março,2024,964-93-4884,Skipper Mellmoth,Dispensa sem Justa Causa,2024-10-10,coordenador de midia
junho,2024,751-46-8393,Vitia Napolitano,Dispensa sem Justa Causa,2024-06-08,executivo de contas
abril,2024,287-52-2481,Elicia Massenhove,Pedido de Demissão,2024-07-23,diretor de criacao
setembro,2024,538-85-8510,Nicolas Farleigh,Dispensa sem Justa Causa,2024-02-27,coordenador de midia
junho,2024,520-26-6507,Eilis Dorsey,Pedido de Demissão,2024-10-28,supervisor de planejamento
agosto,2024,467-35-8647,Nixie Slott,Dispensa sem Justa Causa,2024-12-09,executivo de contas
fevereiro,2024,543-35-1018,Clarette Pelman,Pedido de Demissão,2024-04-09,executivo de contas
janeiro,2024,418-27-9241,Cthrine Bygrove,Pedido de Demissão,2024-07-05,supervisor de planejamento
outubro,2024,286-30-6929,Hadley Helm,Dispensa sem Justa Causa,2024-09-21,gerente de planejamento
abril,2024,974-80-9312,Hobie Blaxeland,Pedido de Demissão,2024-10-31,coordenador de midia
novembro,2024,906-91-3247,Sonny Butrimovich,Pedido de Demissão,2024-08-09,gerente de planejamento
novembro,2024,212-64-3385,Randal Johnstone,Pedido de Demissão,2024-06-13,supervisor de planejamento
maio,2024,819-36-4653,Stanleigh Bendik,Pedido de Demissão,2024-08-25,supervisor de planejamento
dezembro,2024,152-49-4459,Neda Callway,Pedido de Demissão,2024-05-15,executivo de contas
julho,2024,885-88-7829,Glenda Guichard,Dispensa sem Justa Causa,2024-02-22,gerente de negocios
dezembro,2024,275-70-6691,Caressa Offiler,Dispensa sem Justa Causa,2024-05-04,diretor de criacao
março,2024,643-87-8106,Arie Hardacre,Dispensa sem Justa Causa,2024-06-10,gerente de negocios
dezembro,2024,480-95-7924,Regan Prendiville,Pedido de Demissão,2024-03-24,gerente de negocios
março,2024,511-11-1851,Dorothee Ambresin,Dispensa sem Justa Causa,2024-03-01,gerente de planejamento
fevereiro,2024,324-83-8085,Batsheva Hully,Pedido de Demissão,2024-07-07,diretor de criacao
novembro,2024,981-10-1332,Algernon Gerok,Dispensa sem Justa Causa,2024-11-03,gerente de negocios
janeiro,2024,866-71-3734,Duky Leschelle,Pedido de Demissão,2024-09-12,gerente de negocios
agosto,2024,800-28-6237,Delila Venard,Pedido de Demissão,2024-04-30,gerente de planejamento
abril,2024,153-70-8586,Alisha Kelsey,Dispensa sem Justa Causa,2024-06-27,gerente de negocios
abril,2024,595-13-1624,Hanni Ledeker,Pedido de Demissão,2024-11-11,executivo de contas
julho,2024,744-92-6185,Katlin Errigo,Dispensa sem Justa Causa,2024-10-04,supervisor de planejamento
julho,2024,698-41-6594,Adena Zanicchi,Pedido de Demissão,2024-08-09,diretor de criacao
junho,2024,299-14-1653,Had Wiper,Dispensa sem Justa Causa,2024-06-21,coordenador de midia
abril,2024,759-38-8271,Launce Akeherst,Pedido de Demissão,2024-07-16,diretor de criacao
maio,2024,469-84-9035,Reynolds Tomanek,Dispensa sem Justa Causa,2024-09-06,supervisor de planejamento
maio,2024,105-91-6646,Gratia Sixsmith,Dispensa sem Justa Causa,2024-01-17,supervisor de planejamento
agosto,2024,769-28-2478,Karin McNeigh,Pedido de Demissão,2024-06-07,gerente de negocios
novembro,2024,353-99-2820,Serene Markovich,Pedido de Demissão,2024-01-07,diretor de criacao
fevereiro,2024,961-35-3297,Godfry Budik,Pedido de Demissão,2024-09-28,supervisor de planejamento
novembro,2024,757-50-1590,Anselm Satterfitt,Pedido de Demissão,2024-07-14,executivo de contas
julho,2024,553-86-5330,Randal Dresse,Dispensa sem Justa Causa,2024-08-01,executivo de contas
junho,2024,312-54-8030,Nora Harrie,Pedido de Demissão,2024-09-15,gerente de negocios
março,2024,862-71-3497,Enos Dunican,Pedido de Demissão,2024-06-09,supervisor de planejamento
julho,2024,493-97-9683,Hanson Beecker,Pedido de Demissão,2024-07-02,supervisor de planejamento
novembro,2024,256-66-5698,Valentina Sallnow,Pedido de Demissão,2024-12-14,coordenador de midia
maio,2024,790-86-4904,Catrina Kimbling,Pedido de Demissão,2024-04-20,executivo de contas
março,2024,496-28-5357,Horatio Splaven,Pedido de Demissão,2024-10-29,gerente de planejamento
dezembro,2024,631-77-8180,Cornela Grierson,Dispensa sem Justa Causa,2024-08-26,gerente de planejamento
janeiro,2024,987-64-7763,Joell Nibley,Pedido de Demissão,2024-10-08,gerente de planejamento
setembro,2024,970-58-3002,David Lunny,Dispensa sem Justa Causa,2024-04-08,diretor de criacao
janeiro,2024,862-95-9982,Sylas Grog,Pedido de Demissão,2024-08-26,coordenador de midia
fevereiro,2024,442-17-8377,Susanna Ebourne,Dispensa sem Justa Causa,2024-10-09,diretor de criacao
fevereiro,2024,132-59-3465,Pet Trenfield,Dispensa sem Justa Causa,2024-05-01,gerente de planejamento
junho,2024,739-68-1934,Lissi Paulat,Dispensa sem Justa Causa,2024-03-23,coordenador de midia
maio,2024,834-55-4838,Cora Bolte,Pedido de Demissão,2024-10-30,diretor de criacao
fevereiro,2024,782-14-4418,Daffie Redhouse,Pedido de Demissão,2024-05-19,supervisor de planejamento
outubro,2024,482-70-4240,Janina Sandwith,Pedido de Demissão,2024-08-08,coordenador de midia
julho,2024,767-44-8729,Persis Irce,Pedido de Demissão,2024-05-15,supervisor de planejamento
maio,2024,449-78-3879,Clo Philippsohn,Dispensa sem Justa Causa,2024-08-26,executivo de contas
julho,2024,593-90-3794,Desi Pull,Dispensa sem Justa Causa,2024-02-16,diretor de criacao
outubro,2024,146-13-3398,Jasper Brazel,Dispensa sem Justa Causa,2024-04-25,coordenador de midia
março,2024,494-92-9135,Ivonne Fruish,Pedido de Demissão,2024-07-18,gerente de planejamento
março,2024,972-55-5732,Petr Ortzen,Dispensa sem Justa Causa,2024-11-09,diretor de criacao
novembro,2024,120-84-3228,Hayley Beranek,Pedido de Demissão,2024-10-18,gerente de negocios
agosto,2024,835-27-5243,Sarita Bauldrey,Dispensa sem Justa Causa,2024-06-27,gerente de negocios
janeiro,2024,112-67-5245,Theodosia Olivey,Pedido de Demissão,2024-01-31,executivo de contas
outubro,2024,973-45-1697,Wit Dietzler,Pedido de Demissão,2024-07-05,gerente de planejamento
fevereiro,2024,184-51-2035,Lemmie Saffer,Pedido de Demissão,2024-08-27,diretor de criacao
abril,2024,911-95-7683,Keene Stockle,Dispensa sem Justa Causa,2024-05-26,gerente de negocios
abril,2024,686-92-9055,Gavrielle Ropp,Pedido de Demissão,2024-02-24,executivo de contas
maio,2024,636-62-9529,Kaylyn Matlock,Pedido de Demissão,2024-01-31,coordenador de midia
julho,2024,697-35-4224,Skipp Tayt,Pedido de Demissão,2024-04-11,executivo de contas
maio,2024,951-20-5128,Garrek Mote,Pedido de Demissão,2024-09-06,gerente de negocios
setembro,2024,697-84-6722,Veradis Rushbrooke,Dispensa sem Justa Causa,2024-02-01,supervisor de planejamento
julho,2024,678-60-9647,Nicoli Grimwood,Pedido de Demissão,2024-07-06,gerente de planejamento
março,2024,882-85-5943,Hadleigh Fessier,Pedido de Demissão,2024-06-07,gerente de planejamento
março,2024,381-30-7950,Viviyan Ferens,Pedido de Demissão,2024-03-27,gerente de planejamento
julho,2024,948-81-3657,Westbrook Ager,Dispensa sem Justa Causa,2024-03-07,gerente de negocios
março,2024,351-99-1730,Brendis Savell,Dispensa sem Justa Causa,2024-03-19,diretor de criacao
janeiro,2024,342-97-7966,Grete Place,Dispensa sem Justa Causa,2024-03-10,executivo de contas
novembro,2024,179-60-6357,Eugenia Matheson,Dispensa sem Justa Causa,2024-03-06,supervisor de planejamento
maio,2024,923-10-2911,Carline Uttridge,Dispensa sem Justa Causa,2024-03-08,gerente de negocios
julho,2024,925-35-7255,Tandie Linck,Pedido de Demissão,2024-02-12,supervisor de planejamento
julho,2024,344-10-5723,Mercie Linck,Pedido de Demissão,2024-04-02,gerente de negocios
abril,2024,656-81-7608,Myer Garbutt,Pedido de Demissão,2024-05-08,gerente de negocios
março,2024,963-81-5703,Yoshiko Whellans,Dispensa sem Justa Causa,2024-04-01,coordenador de midia
dezembro,2024,470-60-6230,Estele Mingo,Pedido de Demissão,2024-08-10,gerente de planejamento
novembro,2024,782-14-3110,Byrle Hrus,Pedido de Demissão,2024-09-09,gerente de planejamento
maio,2024,851-44-6019,Benjie Gristock,Pedido de Demissão,2024-10-04,gerente de negocios
novembro,2024,222-76-3239,Kissee Spring,Pedido de Demissão,2024-10-24,gerente de negocios
agosto,2024,428-47-3494,Zahara Schlagtmans,Dispensa sem Justa Causa,2024-11-03,executivo de contas
abril,2024,811-13-6399,Trixie Woodall,Dispensa sem Justa Causa,2024-10-07,diretor de criacao
fevereiro,2024,441-70-6134,Korney Purselow,Dispensa sem Justa Causa,2024-03-05,coordenador de midia
fevereiro,2024,310-19-6521,Oswald Poznanski,Pedido de Demissão,2024-05-26,executivo de contas
agosto,2024,932-95-2205,Phylys Tombleson,Dispensa sem Justa Causa,2024-07-11,gerente de negocios
agosto,2024,450-37-9704,Cesare Quickenden,Dispensa sem Justa Causa,2024-06-01,coordenador de midia
abril,2024,454-54-9275,Tandy Ballard,Pedido de Demissão,2024-02-29,coordenador de midia
dezembro,2024,943-85-7118,Hobie Berringer,Pedido de Demissão,2024-09-02,gerente de planejamento
agosto,2024,706-26-5787,Gilles Marikhin,Dispensa sem Justa Causa,2024-12-06,gerente de negocios
dezembro,2024,686-63-9303,Umeko Glisenan,Dispensa sem Justa Causa,2024-10-15,diretor de criacao
